api_fixture_id,captured_at_utc,kickoff_utc,minutes_to_kickoff,fixture_status,home_team,away_team,ou_bet_id,ou_bet_name,b365_over25,b365_under25,p_over25,p_under25,open_p_over25,over_move_pp,o1_current_qualified,user_bookmaker,user_over25,user_under25,api_odds_update_utc
1575162,2026-09-11T16:49:18Z,2026-09-12T13:30:00Z,1240.7,NS,FC Augsburg,Bayer Leverkusen,5,override,1.4,3.0,0.68181818,0.31818182,0.68181818,0.00000000,NO,Marathonbet,1.38,2.76,2026-09-11T14:04:27+00:00
1575163,2026-09-11T16:49:18Z,2026-09-12T13:30:00Z,1240.7,NS,FSV Mainz 05,Eintracht Frankfurt,5,override,1.5,2.62,0.63592233,0.36407767,0.63592233,0.00000000,NO,Marathonbet,1.44,2.55,2026-09-11T14:04:27+00:00
1575164,2026-09-11T16:49:18Z,2026-09-11T18:30:00Z,100.7,NS,Union Berlin,FC Schalke 04,5,override,1.62,2.3,0.58673469,0.41326531,0.56847545,0.01825924,NO,Marathonbet,1.6,2.22,2026-09-11T12:00:44+00:00
1575165,2026-09-11T16:49:18Z,2026-09-12T16:30:00Z,1420.7,NS,1. FC Köln,Werder Bremen,5,override,1.57,2.38,0.60253165,0.39746835,0.62034739,-0.01781574,NO,Marathonbet,1.52,2.33,2026-09-11T14:04:27+00:00
1575166,2026-09-11T16:49:18Z,2026-09-13T15:30:00Z,2800.7,NS,SV Elversberg,Bayern München,5,override,1.17,5.0,0.81037277,0.18962723,0.81037277,0.00000000,NO,Marathonbet,1.12,4.7,2026-09-11T14:04:27+00:00
1575158,2026-09-11T17:22:12Z,2026-09-12T13:30:00Z,1207.8,NS,Borussia Dortmund,SC Paderborn 07,5,override,1.36,3.2,0.70175439,0.29824561,0.70175439,-0.00000000,NO,Marathonbet,1.31,3.08,2026-09-11T14:04:27+00:00
1575159,2026-09-11T17:22:12Z,2026-09-13T13:30:00Z,2647.8,NS,RB Leipzig,Hamburger SV,5,override,1.4,3.0,0.68181818,0.31818182,0.68181818,0.00000000,NO,Marathonbet,1.36,2.84,2026-09-11T14:04:27+00:00
1575160,2026-09-11T17:22:12Z,2026-09-12T13:30:00Z,1207.8,NS,1899 Hoffenheim,VfB Stuttgart,5,override,1.36,3.2,0.70175439,0.29824561,0.70175439,-0.00000000,NO,Marathonbet,1.33,3.1,2026-09-11T14:04:27+00:00
1575161,2026-09-11T17:22:12Z,2026-09-12T13:30:00Z,1207.8,NS,SC Freiburg,Borussia Mönchengladbach,5,override,1.53,2.5,0.62034739,0.37965261,0.62034739,0.00000000,NO,Marathonbet,1.51,2.35,2026-09-11T14:04:27+00:00
1575162,2026-09-11T17:22:12Z,2026-09-12T13:30:00Z,1207.8,NS,FC Augsburg,Bayer Leverkusen,5,override,1.4,3.0,0.68181818,0.31818182,0.68181818,0.00000000,NO,Marathonbet,1.38,2.76,2026-09-11T14:04:27+00:00
1575163,2026-09-11T17:22:12Z,2026-09-12T13:30:00Z,1207.8,NS,FSV Mainz 05,Eintracht Frankfurt,5,override,1.5,2.62,0.63592233,0.36407767,0.63592233,0.00000000,NO,Marathonbet,1.44,2.55,2026-09-11T14:04:27+00:00
1575164,2026-09-11T17:22:12Z,2026-09-11T18:30:00Z,67.8,NS,Union Berlin,FC Schalke 04,5,override,1.67,2.2,0.56847545,0.43152455,0.56847545,0.00000000,NO,Marathonbet,1.59,2.24,2026-09-11T14:04:27+00:00
1575165,2026-09-11T17:22:12Z,2026-09-12T16:30:00Z,1387.8,NS,1. FC Köln,Werder Bremen,5,override,1.57,2.38,0.60253165,0.39746835,0.62034739,-0.01781574,NO,Marathonbet,1.52,2.33,2026-09-11T14:04:27+00:00
1575166,2026-09-11T17:22:12Z,2026-09-13T15:30:00Z,2767.8,NS,SV Elversberg,Bayern München,5,override,1.17,5.0,0.81037277,0.18962723,0.81037277,0.00000000,NO,Marathonbet,1.12,4.7,2026-09-11T14:04:27+00:00
1575158,2026-09-11T17:47:02Z,2026-09-12T13:30:00Z,1183.0,NS,Borussia Dortmund,SC Paderborn 07,5,override,1.36,3.2,0.70175439,0.29824561,0.70175439,-0.00000000,NO,Marathonbet,1.31,3.08,2026-09-11T14:04:27+00:00
1575159,2026-09-11T17:47:02Z,2026-09-13T13:30:00Z,2623.0,NS,RB Leipzig,Hamburger SV,5,override,1.4,3.0,0.68181818,0.31818182,0.68181818,0.00000000,NO,Marathonbet,1.36,2.84,2026-09-11T14:04:27+00:00
1575160,2026-09-11T17:47:02Z,2026-09-12T13:30:00Z,1183.0,NS,1899 Hoffenheim,VfB Stuttgart,5,override,1.36,3.2,0.70175439,0.29824561,0.70175439,-0.00000000,NO,Marathonbet,1.33,3.1,2026-09-11T14:04:27+00:00
1575161,2026-09-11T17:47:02Z,2026-09-12T13:30:00Z,1183.0,NS,SC Freiburg,Borussia Mönchengladbach,5,override,1.53,2.5,0.62034739,0.37965261,0.62034739,0.00000000,NO,Marathonbet,1.51,2.35,2026-09-11T14:04:27+00:00
1575162,2026-09-11T17:47:02Z,2026-09-12T13:30:00Z,1183.0,NS,FC Augsburg,Bayer Leverkusen,5,override,1.4,3.0,0.68181818,0.31818182,0.68181818,0.00000000,NO,Marathonbet,1.38,2.76,2026-09-11T14:04:27+00:00
1575163,2026-09-11T17:47:02Z,2026-09-12T13:30:00Z,1183.0,NS,FSV Mainz 05,Eintracht Frankfurt,5,override,1.5,2.62,0.63592233,0.36407767,0.63592233,0.00000000,NO,Marathonbet,1.44,2.55,2026-09-11T14:04:27+00:00
1575164,2026-09-11T17:47:02Z,2026-09-11T18:30:00Z,43.0,NS,Union Berlin,FC Schalke 04,5,override,1.67,2.2,0.56847545,0.43152455,0.56847545,0.00000000,NO,Marathonbet,1.59,2.24,2026-09-11T14:04:27+00:00
1575165,2026-09-11T17:47:02Z,2026-09-12T16:30:00Z,1363.0,NS,1. FC Köln,Werder Bremen,5,override,1.57,2.38,0.60253165,0.39746835,0.62034739,-0.01781574,NO,Marathonbet,1.52,2.33,2026-09-11T14:04:27+00:00
1575166,2026-09-11T17:47:02Z,2026-09-13T15:30:00Z,2743.0,NS,SV Elversberg,Bayern München,5,override,1.17,5.0,0.81037277,0.18962723,0.81037277,0.00000000,NO,Marathonbet,1.12,4.7,2026-09-11T14:04:27+00:00
1575158,2026-09-11T18:25:54Z,2026-09-12T13:30:00Z,1144.1,NS,Borussia Dortmund,SC Paderborn 07,5,override,1.36,3.2,0.70175439,0.29824561,0.70175439,-0.00000000,NO,Marathonbet,1.31,3.08,2026-09-11T14:04:27+00:00
1575159,2026-09-11T18:25:54Z,2026-09-13T13:30:00Z,2584.1,NS,RB Leipzig,Hamburger SV,5,override,1.4,3.0,0.68181818,0.31818182,0.68181818,0.00000000,NO,Marathonbet,1.36,2.84,2026-09-11T14:04:27+00:00
1575160,2026-09-11T18:25:54Z,2026-09-12T13:30:00Z,1144.1,NS,1899 Hoffenheim,VfB Stuttgart,5,override,1.36,3.2,0.70175439,0.29824561,0.70175439,-0.00000000,NO,Marathonbet,1.33,3.1,2026-09-11T14:04:27+00:00
1575161,2026-09-11T18:25:54Z,2026-09-12T13:30:00Z,1144.1,NS,SC Freiburg,Borussia Mönchengladbach,5,override,1.53,2.5,0.62034739,0.37965261,0.62034739,0.00000000,NO,Marathonbet,1.51,2.35,2026-09-11T14:04:27+00:00
1575162,2026-09-11T18:25:54Z,2026-09-12T13:30:00Z,1144.1,NS,FC Augsburg,Bayer Leverkusen,5,override,1.4,3.0,0.68181818,0.31818182,0.68181818,0.00000000,NO,Marathonbet,1.38,2.76,2026-09-11T14:04:27+00:00
1575163,2026-09-11T18:25:54Z,2026-09-12T13:30:00Z,1144.1,NS,FSV Mainz 05,Eintracht Frankfurt,5,override,1.5,2.62,0.63592233,0.36407767,0.63592233,0.00000000,NO,Marathonbet,1.44,2.55,2026-09-11T14:04:27+00:00
1575164,2026-09-11T18:25:54Z,2026-09-11T18:30:00Z,4.1,NS,Union Berlin,FC Schalke 04,5,override,1.67,2.2,0.56847545,0.43152455,0.56847545,0.00000000,NO,Marathonbet,1.59,2.24,2026-09-11T14:04:27+00:00
1575165,2026-09-11T18:25:54Z,2026-09-12T16:30:00Z,1324.1,NS,1. FC Köln,Werder Bremen,5,override,1.57,2.38,0.60253165,0.39746835,0.62034739,-0.01781574,NO,Marathonbet,1.52,2.33,2026-09-11T14:04:27+00:00
1575166,2026-09-11T18:25:54Z,2026-09-13T15:30:00Z,2704.1,NS,SV Elversberg,Bayern München,5,override,1.17,5.0,0.81037277,0.18962723,0.81037277,0.00000000,NO,Marathonbet,1.12,4.7,2026-09-11T14:04:27+00:00
1575158,2026-09-11T19:21:10Z,2026-09-12T13:30:00Z,1088.8,NS,Borussia Dortmund,SC Paderborn 07,5,override,1.36,3.2,0.70175439,0.29824561,0.70175439,-0.00000000,NO,Marathonbet,1.32,3.04,2026-09-11T18:26:15+00:00
1575159,2026-09-11T19:21:10Z,2026-09-13T13:30:00Z,2528.8,NS,RB Leipzig,Hamburger SV,5,override,1.4,3.0,0.68181818,0.31818182,0.68181818,0.00000000,NO,Marathonbet,1.36,2.84,2026-09-11T18:26:15+00:00
1575160,2026-09-11T19:21:10Z,2026-09-12T13:30:00Z,1088.8,NS,1899 Hoffenheim,VfB Stuttgart,5,override,1.36,3.2,0.70175439,0.29824561,0.70175439,-0.00000000,NO,Marathonbet,1.31,3.2,2026-09-11T18:26:15+00:00
1575161,2026-09-11T19:21:10Z,2026-09-12T13:30:00Z,1088.8,NS,SC Freiburg,Borussia Mönchengladbach,5,override,1.53,2.5,0.62034739,0.37965261,0.62034739,0.00000000,NO,Marathonbet,1.51,2.35,2026-09-11T14:04:27+00:00
1575162,2026-09-11T19:21:10Z,2026-09-12T13:30:00Z,1088.8,NS,FC Augsburg,Bayer Leverkusen,5,override,1.4,3.0,0.68181818,0.31818182,0.68181818,0.00000000,NO,Marathonbet,1.38,2.76,2026-09-11T18:26:15+00:00
1575163,2026-09-11T19:21:10Z,2026-09-12T13:30:00Z,1088.8,NS,FSV Mainz 05,Eintracht Frankfurt,5,override,1.5,2.62,0.63592233,0.36407767,0.63592233,0.00000000,NO,Marathonbet,1.44,2.55,2026-09-11T14:04:27+00:00
1575165,2026-09-11T19:21:10Z,2026-09-12T16:30:00Z,1268.8,NS,1. FC Köln,Werder Bremen,5,override,1.57,2.38,0.60253165,0.39746835,0.62034739,-0.01781574,NO,Marathonbet,1.52,2.33,2026-09-11T18:26:15+00:00
1575166,2026-09-11T19:21:10Z,2026-09-13T15:30:00Z,2648.8,NS,SV Elversberg,Bayern München,5,override,1.17,5.0,0.81037277,0.18962723,0.81037277,0.00000000,NO,Marathonbet,1.12,4.7,2026-09-11T14:04:27+00:00
1575158,2026-09-11T19:46:44Z,2026-09-12T13:30:00Z,1063.3,NS,Borussia Dortmund,SC Paderborn 07,5,override,1.36,3.2,0.70175439,0.29824561,0.70175439,-0.00000000,NO,Marathonbet,1.32,3.04,2026-09-11T18:26:15+00:00
1575159,2026-09-11T19:46:44Z,2026-09-13T13:30:00Z,2503.3,NS,RB Leipzig,Hamburger SV,5,override,1.4,3.0,0.68181818,0.31818182,0.68181818,0.00000000,NO,Marathonbet,1.36,2.84,2026-09-11T18:26:15+00:00
1575161,2026-09-11T19:46:44Z,2026-09-12T13:30:00Z,1063.3,NS,SC Freiburg,Borussia Mönchengladbach,5,override,1.53,2.5,0.62034739,0.37965261,0.62034739,0.00000000,NO,Marathonbet,1.51,2.35,2026-09-11T14:04:27+00:00
1575162,2026-09-11T19:46:44Z,2026-09-12T13:30:00Z,1063.3,NS,FC Augsburg,Bayer Leverkusen,5,override,1.4,3.0,0.68181818,0.31818182,0.68181818,0.00000000,NO,Marathonbet,1.38,2.76,2026-09-11T18:26:15+00:00
1575163,2026-09-11T19:46:44Z,2026-09-12T13:30:00Z,1063.3,NS,FSV Mainz 05,Eintracht Frankfurt,5,override,1.5,2.62,0.63592233,0.36407767,0.63592233,0.00000000,NO,Marathonbet,1.44,2.55,2026-09-11T14:04:27+00:00
1575165,2026-09-11T19:46:44Z,2026-09-12T16:30:00Z,1243.3,NS,1. FC Köln,Werder Bremen,5,override,1.57,2.38,0.60253165,0.39746835,0.62034739,-0.01781574,NO,Marathonbet,1.52,2.33,2026-09-11T18:26:15+00:00
1575166,2026-09-11T19:46:44Z,2026-09-13T15:30:00Z,2623.3,NS,SV Elversberg,Bayern München,5,override,1.17,5.0,0.81037277,0.18962723,0.81037277,0.00000000,NO,Marathonbet,1.12,4.7,2026-09-11T14:04:27+00:00
1575158,2026-09-11T20:23:22Z,2026-09-12T13:30:00Z,1026.6,NS,Borussia Dortmund,SC Paderborn 07,5,override,1.36,3.2,0.70175439,0.29824561,0.70175439,-0.00000000,NO,Marathonbet,1.32,3.04,2026-09-11T18:26:15+00:00
1575159,2026-09-11T20:23:22Z,2026-09-13T13:30:00Z,2466.6,NS,RB Leipzig,Hamburger SV,5,override,1.4,3.0,0.68181818,0.31818182,0.68181818,0.00000000,NO,Marathonbet,1.36,2.84,2026-09-11T18:26:15+00:00
1575160,2026-09-11T20:23:22Z,2026-09-12T13:30:00Z,1026.6,NS,1899 Hoffenheim,VfB Stuttgart,5,override,1.36,3.2,0.70175439,0.29824561,0.70175439,-0.00000000,NO,Marathonbet,1.31,3.2,2026-09-11T18:26:15+00:00
1575161,2026-09-11T20:23:22Z,2026-09-12T13:30:00Z,1026.6,NS,SC Freiburg,Borussia Mönchengladbach,5,override,1.53,2.5,0.62034739,0.37965261,0.62034739,0.00000000,NO,Marathonbet,1.51,2.35,2026-09-11T18:26:15+00:00
1575162,2026-09-11T20:23:22Z,2026-09-12T13:30:00Z,1026.6,NS,FC Augsburg,Bayer Leverkusen,5,override,1.4,3.0,0.68181818,0.31818182,0.68181818,0.00000000,NO,Marathonbet,1.38,2.76,2026-09-11T18:26:15+00:00
1575163,2026-09-11T20:23:22Z,2026-09-12T13:30:00Z,1026.6,NS,FSV Mainz 05,Eintracht Frankfurt,5,override,1.5,2.62,0.63592233,0.36407767,0.63592233,0.00000000,NO,Marathonbet,1.44,2.55,2026-09-11T18:26:15+00:00
1575165,2026-09-11T20:23:22Z,2026-09-12T16:30:00Z,1206.6,NS,1. FC Köln,Werder Bremen,5,override,1.57,2.38,0.60253165,0.39746835,0.62034739,-0.01781574,NO,Marathonbet,1.52,2.33,2026-09-11T18:26:15+00:00
1575166,2026-09-11T20:23:22Z,2026-09-13T15:30:00Z,2586.6,NS,SV Elversberg,Bayern München,5,override,1.17,5.0,0.81037277,0.18962723,0.81037277,0.00000000,NO,Marathonbet,1.12,4.75,2026-09-11T18:26:15+00:00
1575158,2026-09-11T20:49:54Z,2026-09-12T13:30:00Z,1000.1,NS,Borussia Dortmund,SC Paderborn 07,5,override,1.36,3.2,0.70175439,0.29824561,0.70175439,-0.00000000,NO,Marathonbet,1.32,3.04,2026-09-11T18:26:15+00:00
1575159,2026-09-11T20:49:54Z,2026-09-13T13:30:00Z,2440.1,NS,RB Leipzig,Hamburger SV,5,override,1.4,3.0,0.68181818,0.31818182,0.68181818,0.00000000,NO,Marathonbet,1.36,2.84,2026-09-11T18:26:15+00:00
1575160,2026-09-11T20:49:54Z,2026-09-12T13:30:00Z,1000.1,NS,1899 Hoffenheim,VfB Stuttgart,5,override,1.36,3.2,0.70175439,0.29824561,0.70175439,-0.00000000,NO,Marathonbet,1.31,3.2,2026-09-11T18:26:15+00:00
1575161,2026-09-11T20:49:54Z,2026-09-12T13:30:00Z,1000.1,NS,SC Freiburg,Borussia Mönchengladbach,5,override,1.53,2.5,0.62034739,0.37965261,0.62034739,0.00000000,NO,Marathonbet,1.51,2.35,2026-09-11T18:26:15+00:00
1575162,2026-09-11T20:49:54Z,2026-09-12T13:30:00Z,1000.1,NS,FC Augsburg,Bayer Leverkusen,5,override,1.4,3.0,0.68181818,0.31818182,0.68181818,0.00000000,NO,Marathonbet,1.38,2.76,2026-09-11T18:26:15+00:00
1575163,2026-09-11T20:49:54Z,2026-09-12T13:30:00Z,1000.1,NS,FSV Mainz 05,Eintracht Frankfurt,5,override,1.5,2.62,0.63592233,0.36407767,0.63592233,0.00000000,NO,Marathonbet,1.44,2.55,2026-09-11T18:26:15+00:00
1575165,2026-09-11T20:49:54Z,2026-09-12T16:30:00Z,1180.1,NS,1. FC Köln,Werder Bremen,5,override,1.57,2.38,0.60253165,0.39746835,0.62034739,-0.01781574,NO,Marathonbet,1.52,2.33,2026-09-11T18:26:15+00:00
1575166,2026-09-11T20:49:54Z,2026-09-13T15:30:00Z,2560.1,NS,SV Elversberg,Bayern München,5,override,1.17,5.0,0.81037277,0.18962723,0.81037277,0.00000000,NO,Marathonbet,1.12,4.75,2026-09-11T18:26:15+00:00
1575158,2026-09-11T21:21:19Z,2026-09-12T13:30:00Z,968.7,NS,Borussia Dortmund,SC Paderborn 07,5,override,1.36,3.2,0.70175439,0.29824561,0.70175439,-0.00000000,NO,Marathonbet,1.32,3.04,2026-09-11T18:26:15+00:00
1575159,2026-09-11T21:21:19Z,2026-09-13T13:30:00Z,2408.7,NS,RB Leipzig,Hamburger SV,5,override,1.4,3.0,0.68181818,0.31818182,0.68181818,0.00000000,NO,Marathonbet,1.36,2.84,2026-09-11T18:26:15+00:00
1575160,2026-09-11T21:21:19Z,2026-09-12T13:30:00Z,968.7,NS,1899 Hoffenheim,VfB Stuttgart,5,override,1.36,3.2,0.70175439,0.29824561,0.70175439,-0.00000000,NO,Marathonbet,1.31,3.2,2026-09-11T18:26:15+00:00
1575161,2026-09-11T21:21:19Z,2026-09-12T13:30:00Z,968.7,NS,SC Freiburg,Borussia Mönchengladbach,5,override,1.53,2.5,0.62034739,0.37965261,0.62034739,0.00000000,NO,Marathonbet,1.51,2.35,2026-09-11T18:26:15+00:00
1575162,2026-09-11T21:21:19Z,2026-09-12T13:30:00Z,968.7,NS,FC Augsburg,Bayer Leverkusen,5,override,1.4,3.0,0.68181818,0.31818182,0.68181818,0.00000000,NO,Marathonbet,1.38,2.76,2026-09-11T18:26:15+00:00
1575163,2026-09-11T21:21:19Z,2026-09-12T13:30:00Z,968.7,NS,FSV Mainz 05,Eintracht Frankfurt,5,override,1.5,2.62,0.63592233,0.36407767,0.63592233,0.00000000,NO,Marathonbet,1.44,2.55,2026-09-11T18:26:15+00:00
1575165,2026-09-11T21:21:19Z,2026-09-12T16:30:00Z,1148.7,NS,1. FC Köln,Werder Bremen,5,override,1.57,2.38,0.60253165,0.39746835,0.62034739,-0.01781574,NO,Marathonbet,1.52,2.33,2026-09-11T18:26:15+00:00
1575166,2026-09-11T21:21:19Z,2026-09-13T15:30:00Z,2528.7,NS,SV Elversberg,Bayern München,5,override,1.17,5.0,0.81037277,0.18962723,0.81037277,0.00000000,NO,Marathonbet,1.12,4.75,2026-09-11T18:26:15+00:00
1575158,2026-09-11T21:46:41Z,2026-09-12T13:30:00Z,943.3,NS,Borussia Dortmund,SC Paderborn 07,5,override,1.36,3.2,0.70175439,0.29824561,0.70175439,-0.00000000,NO,Marathonbet,1.32,3.04,2026-09-11T18:26:15+00:00
1575159,2026-09-11T21:46:41Z,2026-09-13T13:30:00Z,2383.3,NS,RB Leipzig,Hamburger SV,5,override,1.4,3.0,0.68181818,0.31818182,0.68181818,0.00000000,NO,Marathonbet,1.36,2.84,2026-09-11T18:26:15+00:00
1575160,2026-09-11T21:46:41Z,2026-09-12T13:30:00Z,943.3,NS,1899 Hoffenheim,VfB Stuttgart,5,override,1.36,3.2,0.70175439,0.29824561,0.70175439,-0.00000000,NO,Marathonbet,1.31,3.2,2026-09-11T18:26:15+00:00
1575161,2026-09-11T21:46:41Z,2026-09-12T13:30:00Z,943.3,NS,SC Freiburg,Borussia Mönchengladbach,5,override,1.53,2.5,0.62034739,0.37965261,0.62034739,0.00000000,NO,Marathonbet,1.51,2.35,2026-09-11T18:26:15+00:00
1575162,2026-09-11T21:46:41Z,2026-09-12T13:30:00Z,943.3,NS,FC Augsburg,Bayer Leverkusen,5,override,1.4,3.0,0.68181818,0.31818182,0.68181818,0.00000000,NO,Marathonbet,1.38,2.76,2026-09-11T18:26:15+00:00
1575163,2026-09-11T21:46:41Z,2026-09-12T13:30:00Z,943.3,NS,FSV Mainz 05,Eintracht Frankfurt,5,override,1.5,2.62,0.63592233,0.36407767,0.63592233,0.00000000,NO,Marathonbet,1.44,2.55,2026-09-11T18:26:15+00:00
1575165,2026-09-11T21:46:41Z,2026-09-12T16:30:00Z,1123.3,NS,1. FC Köln,Werder Bremen,5,override,1.57,2.38,0.60253165,0.39746835,0.62034739,-0.01781574,NO,Marathonbet,1.52,2.33,2026-09-11T18:26:15+00:00
1575166,2026-09-11T21:46:41Z,2026-09-13T15:30:00Z,2503.3,NS,SV Elversberg,Bayern München,5,override,1.17,5.0,0.81037277,0.18962723,0.81037277,0.00000000,NO,Marathonbet,1.12,4.75,2026-09-11T18:26:15+00:00
1575158,2026-09-11T22:21:55Z,2026-09-12T13:30:00Z,908.1,NS,Borussia Dortmund,SC Paderborn 07,5,override,1.36,3.2,0.70175439,0.29824561,0.70175439,-0.00000000,NO,Marathonbet,1.32,3.04,2026-09-11T18:26:15+00:00
1575159,2026-09-11T22:21:55Z,2026-09-13T13:30:00Z,2348.1,NS,RB Leipzig,Hamburger SV,5,override,1.4,3.0,0.68181818,0.31818182,0.68181818,0.00000000,NO,Marathonbet,1.36,2.84,2026-09-11T18:26:15+00:00
1575160,2026-09-11T22:21:55Z,2026-09-12T13:30:00Z,908.1,NS,1899 Hoffenheim,VfB Stuttgart,5,override,1.36,3.2,0.70175439,0.29824561,0.70175439,-0.00000000,NO,Marathonbet,1.31,3.2,2026-09-11T18:26:15+00:00
1575161,2026-09-11T22:21:55Z,2026-09-12T13:30:00Z,908.1,NS,SC Freiburg,Borussia Mönchengladbach,5,override,1.53,2.5,0.62034739,0.37965261,0.62034739,0.00000000,NO,Marathonbet,1.51,2.35,2026-09-11T18:26:15+00:00
1575162,2026-09-11T22:21:55Z,2026-09-12T13:30:00Z,908.1,NS,FC Augsburg,Bayer Leverkusen,5,override,1.4,3.0,0.68181818,0.31818182,0.68181818,0.00000000,NO,Marathonbet,1.38,2.76,2026-09-11T18:26:15+00:00
1575163,2026-09-11T22:21:55Z,2026-09-12T13:30:00Z,908.1,NS,FSV Mainz 05,Eintracht Frankfurt,5,override,1.5,2.62,0.63592233,0.36407767,0.63592233,0.00000000,NO,Marathonbet,1.44,2.55,2026-09-11T18:26:15+00:00
1575165,2026-09-11T22:21:55Z,2026-09-12T16:30:00Z,1088.1,NS,1. FC Köln,Werder Bremen,5,override,1.57,2.38,0.60253165,0.39746835,0.62034739,-0.01781574,NO,Marathonbet,1.52,2.33,2026-09-11T18:26:15+00:00
1575166,2026-09-11T22:21:55Z,2026-09-13T15:30:00Z,2468.1,NS,SV Elversberg,Bayern München,5,override,1.17,5.0,0.81037277,0.18962723,0.81037277,0.00000000,NO,Marathonbet,1.12,4.75,2026-09-11T18:26:15+00:00
1575158,2026-09-11T22:47:25Z,2026-09-12T13:30:00Z,882.6,NS,Borussia Dortmund,SC Paderborn 07,5,override,1.36,3.2,0.70175439,0.29824561,0.70175439,-0.00000000,NO,Marathonbet,1.32,3.04,2026-09-11T18:26:15+00:00
1575159,2026-09-11T22:47:25Z,2026-09-13T13:30:00Z,2322.6,NS,RB Leipzig,Hamburger SV,5,override,1.4,3.0,0.68181818,0.31818182,0.68181818,0.00000000,NO,Marathonbet,1.36,2.84,2026-09-11T22:34:19+00:00
1575160,2026-09-11T22:47:25Z,2026-09-12T13:30:00Z,882.6,NS,1899 Hoffenheim,VfB Stuttgart,5,override,1.36,3.2,0.70175439,0.29824561,0.70175439,-0.00000000,NO,Marathonbet,1.31,3.2,2026-09-11T18:26:15+00:00
1575161,2026-09-11T22:47:25Z,2026-09-12T13:30:00Z,882.6,NS,SC Freiburg,Borussia Mönchengladbach,5,override,1.53,2.5,0.62034739,0.37965261,0.62034739,0.00000000,NO,Marathonbet,1.51,2.35,2026-09-11T18:26:15+00:00
1575162,2026-09-11T22:47:25Z,2026-09-12T13:30:00Z,882.6,NS,FC Augsburg,Bayer Leverkusen,5,override,1.4,3.0,0.68181818,0.31818182,0.68181818,0.00000000,NO,Marathonbet,1.38,2.76,2026-09-11T18:26:15+00:00
1575163,2026-09-11T22:47:25Z,2026-09-12T13:30:00Z,882.6,NS,FSV Mainz 05,Eintracht Frankfurt,5,override,1.5,2.62,0.63592233,0.36407767,0.63592233,0.00000000,NO,Marathonbet,1.44,2.55,2026-09-11T18:26:15+00:00
1575165,2026-09-11T22:47:25Z,2026-09-12T16:30:00Z,1062.6,NS,1. FC Köln,Werder Bremen,5,override,1.57,2.38,0.60253165,0.39746835,0.62034739,-0.01781574,NO,Marathonbet,1.52,2.33,2026-09-11T22:34:19+00:00
1575166,2026-09-11T22:47:25Z,2026-09-13T15:30:00Z,2442.6,NS,SV Elversberg,Bayern München,5,override,1.17,5.0,0.81037277,0.18962723,0.81037277,0.00000000,NO,Marathonbet,1.12,4.75,2026-09-11T18:26:15+00:00
1575158,2026-09-11T23:20:29Z,2026-09-12T13:30:00Z,849.5,NS,Borussia Dortmund,SC Paderborn 07,5,override,1.36,3.2,0.70175439,0.29824561,0.70175439,-0.00000000,NO,Marathonbet,1.32,3.04,2026-09-11T18:26:15+00:00
1575159,2026-09-11T23:20:29Z,2026-09-13T13:30:00Z,2289.5,NS,RB Leipzig,Hamburger SV,5,override,1.4,3.0,0.68181818,0.31818182,0.68181818,0.00000000,NO,Marathonbet,1.36,2.84,2026-09-11T22:34:19+00:00
1575160,2026-09-11T23:20:29Z,2026-09-12T13:30:00Z,849.5,NS,1899 Hoffenheim,VfB Stuttgart,5,override,1.36,3.2,0.70175439,0.29824561,0.70175439,-0.00000000,NO,Marathonbet,1.31,3.2,2026-09-11T18:26:15+00:00
1575161,2026-09-11T23:20:29Z,2026-09-12T13:30:00Z,849.5,NS,SC Freiburg,Borussia Mönchengladbach,5,override,1.57,2.38,0.60253165,0.39746835,0.62034739,-0.01781574,NO,Marathonbet,1.52,2.33,2026-09-11T22:34:19+00:00
1575162,2026-09-11T23:20:29Z,2026-09-12T13:30:00Z,849.5,NS,FC Augsburg,Bayer Leverkusen,5,override,1.4,3.0,0.68181818,0.31818182,0.68181818,0.00000000,NO,Marathonbet,1.38,2.76,2026-09-11T22:34:19+00:00
1575163,2026-09-11T23:20:29Z,2026-09-12T13:30:00Z,849.5,NS,FSV Mainz 05,Eintracht Frankfurt,5,override,1.5,2.62,0.63592233,0.36407767,0.63592233,0.00000000,NO,Marathonbet,1.44,2.55,2026-09-11T22:34:19+00:00
1575165,2026-09-11T23:20:29Z,2026-09-12T16:30:00Z,1029.5,NS,1. FC Köln,Werder Bremen,5,override,1.57,2.38,0.60253165,0.39746835,0.62034739,-0.01781574,NO,Marathonbet,1.52,2.33,2026-09-11T22:34:19+00:00
1575166,2026-09-11T23:20:29Z,2026-09-13T15:30:00Z,2409.5,NS,SV Elversberg,Bayern München,5,override,1.17,5.0,0.81037277,0.18962723,0.81037277,0.00000000,NO,Marathonbet,1.12,4.7,2026-09-11T22:34:19+00:00
1575158,2026-09-11T23:46:46Z,2026-09-12T13:30:00Z,823.2,NS,Borussia Dortmund,SC Paderborn 07,5,override,1.36,3.2,0.70175439,0.29824561,0.70175439,-0.00000000,NO,Marathonbet,1.32,3.04,2026-09-11T18:26:15+00:00
1575159,2026-09-11T23:46:46Z,2026-09-13T13:30:00Z,2263.2,NS,RB Leipzig,Hamburger SV,5,override,1.4,3.0,0.68181818,0.31818182,0.68181818,0.00000000,NO,Marathonbet,1.36,2.84,2026-09-11T22:34:19+00:00
